back_camera,battery,display,ram,brand_encoded,tier_encoded,price
144,4832,6.9,12,0,3,527999
48,3149,6.5,8,0,1,414999
144,3988,6.3,12,0,2,497999
60,3561,6.1,8,0,0,308999
108,4676,6.9,8,0,3,521999
60,3349,6.1,6,0,0,266499
24,327912,6.1,6,0,0,183999
96,3692,6.3,8,0,0,387999
48,4005,6.1,8,0,0,254999
60M,4600,6.7,8,0,1,327999
108,3577,6.3,8,0,2,366999
108,4422,6.7,8,0,3,392000
24,3240,6.1,4,0,0,167499
144,4832,6.9,12,0,3,527999
48,3149,6.5,8,0,1,414999
144,3988,6.3,12,0,2,497999
60,3561,6.1,8,0,0,308999
108,4676,6.9,8,0,3,521999
60,3349,6.1,6,0,0,266499
24,3279,6.1,6,0,0,183999
96,3692,6.3,8,0,0,387999
48,4005,6.1,8,0,0,254999
60,4600,6.7,8,0,1,327999
108,3577,6.3,8,0,2,366999
108,4422,6.7,8,0,3,392000
24,3240,6.1,4,0,0,167499
48,2815,5.4,4,0,0,154999
60,2815,6.1,4,0,0,174999
108,2815,6.1,6,0,2,214999
108,3687,6.7,6,0,3,234999
48,3110,6.1,4,0,0,149999
108,3046,5.8,4,0,2,199999
108,3969,6.5,4,0,3,219999
48,2716,5.8,3,0,0,164999
108,2716,5.8,3,0,0,184999
48,2658,5.8,4,0,0,219999
108,3174,6.5,4,0,0,249999
48,2942,6.1,3,0,0,149999
48,7608,10.9,4,0,1,79999
48,7618,10.9,4,0,1,89999
48,8612,10.2,3,0,0,49999
48,8612,10.2,3,0,0,59999
48,5124,7.9,3,0,0,69999
48,5124,7.9,3,0,0,79999
108,7812,11.0,4,0,2,149999
108,7812,11.0,4,0,2,169999
108,7812,11.0,6,0,2,189999
108,9720,12.9,6,0,2,219999
108,9720,12.9,6,0,2,239999
108,9720,12.9,6,0,2,259999
108,10307,13.0,6,0,2,259999
108,10307,13.0,6,0,2,279999
108,10307,13.0,6,0,2,309999
108,10307,13.0,6,0,2,359999
108,10307,13.0,6,0,2,399999
310,5000,6.9,12,1,0,489999
50,4900,6.7,12,1,1,364999
72,4300,6.3,12,1,0,299999
57,5000,6.7,6/8,1,0,51500
67,5000,6.7,8,1,0,113999
70,4900,6.7,8,1,0,179999
52,5000,6.7,4/6,1,0,25700
63,5000,6.7,8,1,0,99699
60,5000,6.7,8,1,0,71999
310,5000,6.9,12,1,0,352999
72,4000,6.2,12,1,0,259999
70,4700,6.7,8,1,0,166999
72,4400,7.6,12,1,0,325999
62,4000,6.7,12,1,0,304999
72,4400,7.6,12,1,0,485999
262,5000,6.8,12,1,0,335999
63,5000,6.6,8,1,0,83999
67,5000,6.6,8,1,0,94500
272,5000,6.8,12,1,0,316999
72,4000,6.2,8,1,0,208999
60,5000,6.5,8,1,0,59999
70,4500,6.4,8,1,0,119499
24,3700,6.7,8,1,0,224999
67,5000,6.4,8,1,0,79500
232,5000,6.8,12,1,0,269999
24,3700,6.7,8,1,0,184999
72,3700,6.1,8,1,0,170999
30,4500,6.4,6,1,0,99999
310,5000,6.9,12,1,0,339999
52,5000,6.7,4,1,0,22499
272,5000,6.8,12,1,0,314999
61,5000,6.6,6,1,0,68199
130,5000,6.7,8,1,0,91999
50,4400,7.6,12,1,0,485999
50,4400,7.6,12,1,0,485999
50,4400,7.6,12,1,0,485999
310,5000,6.9,12,1,0,489999
50,4900,6.7,12,1,1,364999
72,4300,6.3,12,1,0,299999
57,5000,6.7,6/8,1,0,51500
67,5000,6.7,8,1,0,113999
70,4900,6.7,8,1,0,179999
52,5000,6.7,4/6,1,0,25700
63,5000,6.7,8,1,0,99699
60,5000,6.7,8,1,0,71999
310,5000,6.9,12,1,0,352999
72,4000,6.2,12,1,0,259999
70,4700,6.7,8,1,0,166999
72,4400,7.6,12,1,0,325999
62,4000,6.7,12,1,0,304999
72,4400,7.6,12,1,0,485999
262,5000,6.8,12,1,0,335999
63,5000,6.6,8,1,0,83999
67,5000,6.6,8,1,0,94500
272,5000,6.8,12,1,0,316999
72,4000,6.2,8,1,0,208999
60,5000,6.5,8,1,0,59999
70,4500,6.4,8,1,0,119499
24,3700,6.7,8,1,0,224999
67,5000,6.4,8,1,0,79500
232,5000,6.8,12,1,0,269999
24,3700,6.7,8,1,0,184999
72,3700,6.1,8,1,0,170999
30,4500,6.4,6,1,0,99999
310,5000,6.9,12,1,0,339999
52,5000,6.7,4,1,0,22499
272,5000,6.8,12,1,0,314999
61,5000,6.6,6,1,0,68199
130,5000,6.7,8,1,0,91999
50,4400,7.6,12,1,0,485999
50,4400,7.6,12,1,0,485999
50,4400,7.6,12,1,0,485999
200,5000,6.8,12,1,0,450000
200,5000,6.8,12,1,0,480000
50,4800,6.6,8,1,0,400000
50,4800,6.6,8,1,0,430000
50,4000,6.1,8,1,0,350000
50,4000,6.1,8,1,0,380000
232,5000,6.8,12,1,0,430000
232,5000,6.8,12,1,0,460000
50,4700,6.6,8,1,0,360000
50,4700,6.6,8,1,0,390000
50,3900,6.1,8,1,0,320000
50,3900,6.1,8,1,0,350000
228,5000,6.8,12,1,0,420000
228,5000,6.8,12,1,0,450000
50,4500,6.6,8,1,0,350000
50,4500,6.6,8,1,0,380000
50,3800,6.1,8,1,0,300000
50,3800,6.1,8,1,0,330000
50,4400,7.6,12,1,0,500000
50,4400,7.6,12,1,0,550000
50,3700,6.7,8,1,0,350000
50,3700,6.7,8,1,0,380000
58,5200,6.78,16,4,2,64999
13,5000,6.75,4,4,0,25300
50,5200,6.6,6,4,0,37600
50,5200,6.78,88,4,2,60400
50,5200,6.78,88,4,2,50700
13,6000,6.67,4,4,0,29799
13,5000,6.67,4,4,0,25799
108,5000,6.78,8,4,2,46999
110,5000,6.78,16,4,2,59999
52,7000,6.78,16,4,0,45999
52,5000,6.78,24,4,0,49999
50,6500,6.59,12,4,0,153999
50,6500,6.74,4,4,0,39599
8,6500,6.74,8,4,0,30999
50,6510,6.78,16,4,2,314999
50,6210,6.77,8,4,0,72999
50,6500,6.77,12,4,0,88999
50,6500,6.68,6,4,0,45999
50,6500,6.77,12,4,0,134999
52,6000,6.67,8,4,0,62499
150,6000,6.53,16,4,0,419999
108,6500,6.31,12,4,0,194999
52,6500,6.68,8,4,0,54299
13,5500,6.74,4,4,0,32999
58,6500,6.77,12,4,0,82999
100,6000,6.77,12,4,0,124999
300,6000,6.78,16,4,2,278499
52,5000,6.67,8,4,0,52499
50,6000,6.78,12,4,0,199999
50,6000,6.78,12,4,0,219999
200,6000,6.78,16,4,2,229999
200,6000,6.78,16,4,2,249999
50,5700,6.31,16,4,2,189999
64,4100,6.44,8,4,0,79999
64,5000,6.58,12,4,0,69999
50,5000,6.67,8,4,0,59999
64,4500,6.38,8,4,0,54999
108,4700,6.56,12,4,2,99999
64,4500,6.44,12,4,2,89999
50,5000,6.78,16,4,0,109999
16,3315,6.3,6,4,0,39999
24,3260,6.3,4,4,0,34999
20,4000,5.88,6,4,1,42999
13,3260,6.22,3,4,0,22999
13,2300,5.5,2,4,0,29999
20,3055,5.5,4,4,1,39999
20,4030,6.22,4,4,0,29999
8,3000,5.5,4,4,0,24999
5,2000,5.0,1,4,0,19999
16,3000,5.5,3,4,0,27999
48,4500,6.44,8,4,0,49999
48,4500,6.44,8,4,0,54999
48,4100,6.44,8,4,2,54999
48,4100,6.44,8,4,2,59999
13,5000,6.51,4,4,0,22999
13,5000,6.51,4,4,0,22999
48,4500,6.38,6,4,2,39999
48,4500,6.38,6,4,2,44999
13,5000,6.35,3,4,0,18499
13,5000,6.35,3,4,0,22499
48,4000,6.53,6,4,0,34999
48,4000,6.53,6,4,0,39999
48,4000,6.39,6,4,2,44999
48,3700,6.39,6,4,2,49999
48,4000,6.39,8,4,2,59999
48,4000,6.39,8,4,2,64999
13,5000,6.47,3,4,0,19999
13,5000,6.47,4,4,0,24999
16,4500,6.53,4,4,2,29999
16,4500,6.53,6,4,2,34999
12,3200,6.28,4,4,0,34999
12,3200,6.28,6,4,0,39999
64,4050,6.44,8,4,0,39999
64,4050,6.44,8,4,0,44999
50,5000,6.58,4,4,0,29999
50,5000,6.58,8,4,0,34999
48,4200,6.56,12,4,2,109999
48,4200,6.56,12,4,2,119999
64,4000,6.44,8,4,2,49999
64,4000,6.44,8,4,2,54999
50,5000,6.58,8,4,0,54999
50,5000,6.58,8,4,0,59999
50,5000,6.58,6,4,0,29999
50,5000,6.58,6,4,0,34999
48,3700,6.39,6,4,2,44999
48,3700,6.39,6,4,2,49999
50,4450,6.56,8,4,2,99999
50,4450,6.56,8,4,2,109999
50,4600,6.78,8,4,0,79999
50,4600,6.78,8,4,0,84999
50,4600,6.78,8,4,2,89999
50,4600,6.78,8,4,2,94999
64,4830,6.56,8,4,2,79999
64,4830,6.56,8,4,2,85999
50,4870,6.78,12,4,2,199999
50,4870,6.78,12,4,2,229999
64,4500,6.44,8,4,0,59999
64,4500,6.44,8,4,0,64999
64,4500,6.44,8,4,0,49999
64,4500,6.44,8,4,0,54999
64,4200,6.44,8,4,0,69999
64,4200,6.44,8,4,0,74999
50,4700,6.78,12,4,0,179999
50,4700,6.78,12,4,0,199999
13,5000,6.51,4,4,0,26999
13,5000,6.51,4,4,0,29999
13,8040,11.0,6,4,0,64999
50,8040,11.0,8,4,0,74999
13,8040,10.4,6,4,1,58999
13,8040,11.0,6,4,0,62999
50,8040,12.3,8,4,2,84999
50,8040,12.9,8,4,2,94999
50,6330,6.3,12,4,0,319999
50,6000,6.9,16,4,0,479999
50,6000,6.9,8,4,0,42199
50,7000,6.9,8,4,0,42999
50,6000,6.9,4,4,0,31499
32M,5200,6.88,4,4,0,24499
350,5410,6.73,16,4,0,372999
210,5500,6.67,8,4,2,69999
112,5500,6.7,8,4,0,48999
50,5160,6.88,8,4,0,36999
52,5160,6.88,4,4,0,31999
110,5030,6.79,8,4,0,37999
118,5000,6.67,6,4,0,49999
150,4610,6.3,12,4,0,302999
60,5000,6.67,8,4,0,41999
50,5500,6.83,12,4,0,169999
112,5500,6.83,12,4,2,234999
210,5110,6.7,12,4,2,125999
58,6000,6.67,12,4,2,137999
58,5000,6.67,12,4,0,131999
60,5000,6.67,12,4,2,169999
8,5000,6.71,3,4,0,19899
8,5000,6.71,4,4,0,21999
210,5000,6.67,8,4,2,126499
74,5000,6.67,12,4,2,122099
74,5000,6.67,12,4,2,83999
52,5000,6.74,6,4,0,29499
60,5000,6.79,8,4,0,33499
8,5000,6.52,3,4,1,19999
50,5000,6.71,4,4,0,22999
50,7000,6.8,8,4,2,52999
50,7000,6.8,8,4,0,47999
50,7000,6.57,8,4,0,78999
50,7000,6.8,12,4,2,141499
13,6300,6.74,4,4,0,31199
58,7000,6.8,12,4,0,164999
52,6000,6.67,12,4,0,67999
52,6000,6.67,12,4,0,85499
50,6300,6.72,6,4,0,36499
50,5600,6.67,6,4,0,37999
8,5000,6.74,4,4,0,20999
54,5000,6.5,4,4,0,23499
58,7000,6.77,12,4,0,105499
50,6000,6.72,8,4,0,38499
50,5000,6.67,12,4,0,75999
32,5000,6.74,4,4,0,21999
60,5000,6.7,16,4,0,66499
8,5000,6.5,4,4,0,18299
50,7000,6.8,8,4,2,52999
50,7000,6.8,8,4,0,47999
50,7000,6.57,8,4,0,78999
50,7000,6.8,12,4,2,141499
13,6300,6.74,4,4,0,31199
58,7000,6.8,12,4,0,164999
52,6000,6.67,12,4,0,67999
52,6000,6.67,12,4,0,85499
50,6300,6.72,6,4,0,36499
50,5600,6.67,6,4,0,37999
8,5000,6.74,4,4,0,20999
54,5000,6.5,4,4,0,23499
58,7000,6.77,12,4,0,105499
50,6000,6.72,8,4,0,38499
50,5000,6.67,12,4,0,75999
32,5000,6.74,4,4,0,21999
60,5000,6.7,16,4,0,66499
8,5000,6.5,4,4,0,18299
16,6500,6.78,12,4,2,139999
16,6500,6.78,16,4,2,149999
32,5500,6.78,8,4,0,89999
32,5500,6.78,12,4,0,94999
32,5500,6.78,16,4,0,99999
32,5500,6.78,8,4,0,84999
32,5500,6.78,8,4,0,89999
16,6000,6.83,12,4,2,94999
16,6000,6.83,12,4,2,99999
16,5800,6.7,8,4,2,79999
16,5800,6.7,8,4,2,84999
16,5500,6.6,6,4,0,64999
16,5500,6.6,8,4,0,69999
16,5000,6.5,8,4,1,59999
16,5000,6.5,8,4,1,64999
16,5000,6.6,6,4,0,49999
16,5000,6.6,8,4,0,54999
16,5200,6.7,8,4,2,74999
16,5200,6.7,12,4,2,79999
32,5500,6.78,12,4,2,94999
32,5500,6.78,16,4,2,99999
16,5100,6.7,8,4,0,54999
16,5100,6.7,12,4,0,59999
32,5500,6.78,12,4,2,89999
32,5500,6.78,16,4,2,94999
16,5000,6.6,6,4,0,44999
16,5000,6.6,8,4,0,49999
16,5200,6.7,8,4,2,59999
16,5200,6.7,12,4,2,64999
16,5000,6.6,8,4,0,54999
16,5000,6.6,8,4,0,59999
16,5000,6.5,6,4,0,39999
16,5000,6.5,6,4,0,37999
16,5000,6.6,8,4,0,47999
16,5200,6.6,8,4,0,52999
16,5000,6.6,6,4,0,37999
16,5000,6.6,8,4,0,42999
16,5000,6.5,4,4,0,32999
16,5000,6.6,6,4,0,39999
16,5000,6.6,8,4,0,44999
16,5000,6.6,6,4,0,37999
16,5000,6.6,8,4,0,42999
16,5000,6.6,6,4,0,36999
16,5000,6.72,6,4,0,39999
16,5000,6.72,8,4,0,44999
16,5200,6.6,6,4,0,47999
16,5200,6.6,6,4,0,49999
16,5200,6.6,8,4,0,54999
16,5000,6.5,6,4,0,42999
16,5200,6.8,8,4,0,124999
16,5200,6.8,12,4,0,139999
16,5000,6.7,8,4,0,79999
16,5000,6.7,12,4,0,94999
16,5100,6.7,8,4,2,84999
16,5100,6.7,12,4,2,99999
8,7100,10.4,4,4,0,57999
8,7100,10.4,6,4,0,64999
8,8360,11.5,6,4,0,74999
8,8360,11.5,8,4,0,84999
8,7100,10.4,4,4,0,54999
8,7100,10.4,6,4,0,61999
8,8340,11.0,4,4,0,79999
8,8340,11.0,6,4,0,89999
5,6400,8.7,3,4,0,44999
5,6400,8.7,4,4,0,49999
8,7100,10.4,4,4,0,56999
8,7100,10.4,6,4,0,62999
8,7200,10.5,4,4,0,59999
8,7200,10.5,6,4,0,64999
52,7000,6.75,8,4,0,55699
50,7000,6.75,8,4,0,68499
50,6500,6.59,12,4,0,159999
50,6500,6.59,8,4,0,114299
200,6200,6.32,12,4,2,229999
13,6500,6.75,6,4,0,29299
50,7000,6.57,8,4,2,83499
8,5100,6.67,4,4,0,27999
50,5800,6.83,12,4,2,146499
60,5600,6.59,12,4,0,118499
60,5000,6.67,12,4,0,69999
50,6500,6.75,4,4,0,48200
52,6000,6.67,6,4,0,39799
60,6000,6.57,8,4,0,94999
32,6000,6.67,4,4,0,29999
52,5800,6.67,8,4,2,50499
32,4805,7.82,12,4,0,299999
32,4300,6.8,12,4,0,199999
50,5000,6.8,12,4,2,249999
50,4800,6.7,8,4,0,199999
50,5800,6.67,8,4,0,79999
50,5800,6.67,8,4,0,79999
50,5800,6.83,12,4,2,129999
50,5600,6.59,12,4,0,99999
50,5000,6.7,8,4,0,69999
50,5000,6.7,8,4,0,69999
50,4600,6.74,12,4,2,119999
50,5000,6.7,8,4,0,89999
64,5000,6.7,8,4,0,79999
50,4600,6.74,12,4,2,109999
50,6000,6.7,8,4,2,89999
50,6000,6.7,12,4,2,99999
50,5160,6.78,8,4,2,59999
50,5160,6.8,8,4,2,47999
50,5160,6.7,6,4,0,36999
8,6000,6.67,4,4,1,28449
8,5000,6.67,4,4,0,25399
58,5200,6.78,12,4,2,79999
52,5200,6.78,8,4,0,65999
160,5000,6.78,8,4,0,59999
13,5000,6.6,2,4,0,21549
52,5000,6.78,8,4,2,54500
28,4680,6.34,6,2,0,54750
122,4680,6.34,6,2,0,80100
62,4614,6.4,8,2,0,42999
24,4410,6.1,6,2,0,49999
110,5003,6.7,12,2,2,60999
62,4355,6.3,8,2,0,61999
77,4385,6.1,8,2,0,49999
110,5000,6.7,8,2,2,74999
62,4575,6.2,8,2,0,79999
62,4492,6.1,8,2,0,89999
146,5050,6.7,12,2,2,99999
98,4700,6.3,12,2,0,121999
146,5100,6.3,8,2,0,144750
146,4700,6.3,16,2,2,164999
146,4970,6.3,12,2,0,189999
140,6200,6.3,8,2,0,139999
146,6500,6.7,12,2,2,249750
28,4680,6.34,6,2,0,54750
122,4680,6.34,6,2,0,80100
62,4614,6.4,8,2,0,42999
24,4410,6.1,6,2,0,49999
110,5003,6.7,12,2,2,60999
62,4355,6.3,8,2,0,61999
77,4385,6.1,8,2,0,49999
110,5000,6.7,8,2,2,74999
62,4575,6.2,8,2,0,79999
62,4492,6.1,8,2,0,89999
146,5050,6.7,12,2,2,99999
98,4700,6.3,12,2,0,121999
146,5100,6.3,8,2,0,144750
146,4700,6.3,16,2,2,164999
146,4970,6.3,12,2,0,189999
140,6200,6.3,8,2,0,139999
146,6500,6.7,12,2,2,249750
8,3000,5.6,4,2,0,69999
8,3700,6.0,4,2,0,79999
8,2800,5.7,6,2,0,119999
8,3700,6.3,6,2,0,139999
8,3140,5.8,6,2,0,89999
8,3885,6.2,6,2,0,109999
8,4080,6.0,8,2,0,139999
8,4680,6.34,6,2,0,109999
8,4614,6.4,8,2,0,159999
11.1,5003,6.71,12,2,2,199999
8,4410,6.1,6,2,0,129999
10.8,4355,6.3,8,2,0,169999
10.8,5000,6.7,12,2,2,229999
10.8,4385,6.1,8,2,0,139999
10.5,4575,6.2,8,2,0,179999
10.5,5050,6.7,12,2,2,249999
10.5,4385,6.1,8,2,0,149999
10.8,4600,6.3,8,2,0,189999
10.8,5050,6.7,12,2,2,259999
10.8,5050,6.8,16,2,2,299999
10.8,5500,7.6,16,2,2,399999
53,3700,6.41,6,3,1,29999
76,3800,6.41,6,3,1,32999
72,4000,6.3,6,3,2,43999
66,4300,6.2,8,3,1,36999
109,4510,6.1,12,3,2,43999
100,4500,6.1,8,3,1,39999
69,4500,6.2,8,3,1,14999
108,4500,6.2,12,3,2,43999
120,6260,6.2,16,3,1,129999
120,6260,6.2,12,3,1,114999
50,6100,6.2,16,3,1,84999
50,6100,6.2,16,3,2,94999
60,5000,6.3,12,3,1,49999
106,5000,6.3,12,3,2,84999
74,5000,6.3,16,3,1,54999
